plume_id,plume_tif,con_tif,s2_path,l8_path,s2_cloud_cover,l8_cloud_cover
GAO20230824t172827p0000-F,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t172827p0000-F/GAO20230824t172827p0000-F_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-F/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t172827p0000-G,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t172827p0000-G/GAO20230824t172827p0000-G_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-G/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t172827p0000-G,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t172827p0000-G/GAO20230824t172827p0000-G_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-G/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t172827p0000-H,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t172827p0000-H/GAO20230824t172827p0000-H_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-H/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t172827p0000-H,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t172827p0000-H/GAO20230824t172827p0000-H_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t172827p0000-H/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-A,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-A/GAO20230824t173950p0000-A_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-A/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-A,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-A/GAO20230824t173950p0000-A_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-A/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-B,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-B/GAO20230824t173950p0000-B_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-B/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-B,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-B/GAO20230824t173950p0000-B_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-B/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-C,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-C/GAO20230824t173950p0000-C_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-C/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-C,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-C/GAO20230824t173950p0000-C_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-C/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-D,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-D/GAO20230824t173950p0000-D_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-D/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-D,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-D/GAO20230824t173950p0000-D_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-D/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-E,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-E/GAO20230824t173950p0000-E_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-E/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-E,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-E/GAO20230824t173950p0000-E_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-E/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-F,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-F/GAO20230824t173950p0000-F_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-F/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-F,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-F/GAO20230824t173950p0000-F_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-F/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-G,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-G/GAO20230824t173950p0000-G_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-G/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-G,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-G/GAO20230824t173950p0000-G_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-G/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-H,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-H/GAO20230824t173950p0000-H_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-H/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t173950p0000-H,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-H/GAO20230824t173950p0000-H_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-H/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-I,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-I/GAO20230824t173950p0000-I_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-I/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t173950p0000-I,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t173950p0000-I/GAO20230824t173950p0000-I_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t173950p0000-I/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t174552p0000-A,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-A/GAO20230824t174552p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-A/GAO20230824t174552p0000-A_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-A/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t174552p0000-A,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-A/GAO20230824t174552p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-A/GAO20230824t174552p0000-A_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-A/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t174552p0000-B,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-B/GAO20230824t174552p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-B/GAO20230824t174552p0000-B_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-B/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t174552p0000-B,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-B/GAO20230824t174552p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-B/GAO20230824t174552p0000-B_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-B/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t174552p0000-C,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-C/GAO20230824t174552p0000-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-C/GAO20230824t174552p0000-C_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-C/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t174552p0000-C,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-C/GAO20230824t174552p0000-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-C/GAO20230824t174552p0000-C_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-C/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t174552p0000-D,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-D/GAO20230824t174552p0000-D_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-D/GAO20230824t174552p0000-D_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-D/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t174552p0000-D,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-D/GAO20230824t174552p0000-D_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-D/GAO20230824t174552p0000-D_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-D/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t174552p0000-E,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-E/GAO20230824t174552p0000-E_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-E/GAO20230824t174552p0000-E_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-E/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t174552p0000-E,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-E/GAO20230824t174552p0000-E_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/08/24/GAO20230824t174552p0000-E/GAO20230824t174552p0000-E_l3a-ch4-mf-v1_concentrations.tif,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-E/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t174552p0000-F,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-F/GAO20230824t174552p0000-F_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-F/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
GAO20230824t174552p0000-F,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-F/GAO20230824t174552p0000-F_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T14SKA_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-F/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.004419,5.34
GAO20230824t174552p0000-G,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t174552p0000-G/GAO20230824t174552p0000-G_l3a-vis-ch4-mf-v002_plume.tif,,/data2/yuyao/methane_emission/data/raw_data_dir/S2B_MSIL2A_20230825T171859_N0510_R012_T13SGR_20241017T081533.SAFE,/data2/yuyao/methane_emission/carbonmapper_data_l89_l2sp/GAO20230824t174552p0000-G/l8_LC09_L2SP_030038_20230824_20230826_02_T1.tif,0.174521,5.34
