plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png,has_emit,emit_granule_id,simulated_512_path
GAO20230614t163624p0000-A,35.286831639640525,-118.94092916909804,2023-06-14 16:36:24+00:00,Livestock (4B),CH4,mf,"[-118.94368835943861, 35.28424833313401, -118.93914304379398, 35.28792713102619]",GAO,production,2023-10-02 18:34:12.253371+00:00,2025-03-25 22:44:10.969628+00:00,v1,,,,,280.1841609099134,122.72746383736444,1.6142578125,0.630859375,225.7245330810547,129.9422149658203,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t163624p0000-A/GAO20230614t163624p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t163624p0000-A/GAO20230614t163624p0000-A_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t163624p0000-A/GAO20230614t163624p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t163624p0000-A/GAO20230614t163624p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t170024p0000-B,35.35084334086578,-118.76214243487746,2023-06-14 17:00:24+00:00,Solid Waste (6A),CH4,mf,"[-118.76413717469701, 35.34836491028519, -118.75958892707872, 35.352043163714846]",GAO,production,2023-10-02 18:34:12.209686+00:00,2025-03-25 22:43:53.772678+00:00,v1,,,,,,,2.73828125,0.291015625,272.3564758300781,21.002471923828125,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t170024p0000-B/GAO20230614t170024p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t170024p0000-B/GAO20230614t170024p0000-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t170024p0000-B/GAO20230614t170024p0000-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t170024p0000-B/GAO20230614t170024p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t170024p0000-B/GAO20230614t170024p0000-B_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t172534p0000-A,35.43887293485464,-119.13159352999128,2023-06-14 17:25:34+00:00,Oil & Gas (1B2),CH4,mf,"[-119.13385397176198, 35.436842990153636, -119.12933824380241, 35.44055356343188]",GAO,production,2023-10-02 18:34:11.713812+00:00,2025-03-25 23:00:40.738008+00:00,v1,,,,,55.48371001822414,64.7910157267662,2.7890625,0.6484375,336.3611145019531,4.183484554290772,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t172534p0000-A/GAO20230614t172534p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t172534p0000-A/GAO20230614t172534p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t172534p0000-A/GAO20230614t172534p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t172534p0000-A/GAO20230614t172534p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t172534p0000-A/GAO20230614t172534p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t173144p0000-A,35.166630411301654,-119.0995950894974,2023-06-14 17:31:44+00:00,Livestock (4B),CH4,mf,"[-119.10186334151301, 35.16476755969732, -119.09732412416034, 35.16844683553039]",GAO,production,2023-10-02 18:34:10.095022+00:00,2025-03-25 22:39:07.073545+00:00,v1,,,,,,,2.369140625,0.310791015625,302.0787048339844,106.25076293945312,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-A/GAO20230614t173144p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-A/GAO20230614t173144p0000-A_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-A/GAO20230614t173144p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-A/GAO20230614t173144p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t173144p0000-B,35.2505240593744,-119.15719812939892,2023-06-14 17:31:44+00:00,Livestock (4B),CH4,mf,"[-119.15879753457529, 35.248237224194014, -119.15429209233335, 35.25191655206244]",GAO,production,2023-10-02 18:34:11.980324+00:00,2025-03-25 22:52:43.640688+00:00,v1,,,,,100.11514872667551,33.15021162399848,2.7890625,0.48388671875,345.2962951660156,7.278850078582764,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-B/GAO20230614t173144p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-B/GAO20230614t173144p0000-B_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-B/GAO20230614t173144p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-B/GAO20230614t173144p0000-B_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t173144p0000-C,35.18540827527299,-119.10408233222496,2023-06-14 17:31:44+00:00,Livestock (4B),CH4,mf,"[-119.105903647296, 35.18309498817364, -119.10140197560371, 35.1867741884106]",GAO,production,2023-10-02 18:34:12.066471+00:00,2025-03-25 22:43:38.645343+00:00,v1,,,,,70.70873883956473,18.64930688860775,2.38671875,0.399658203125,328.1805419921875,65.10328674316406,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-C/GAO20230614t173144p0000-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-C/GAO20230614t173144p0000-C_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-C/GAO20230614t173144p0000-C_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173144p0000-C/GAO20230614t173144p0000-C_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t173639p0000-A,35.16571030527085,-119.1002647714996,2023-06-14 17:36:39+00:00,Livestock (4B),CH4,mf,"[-119.1022166050465, 35.16380262332179, -119.09775447513337, 35.167450372450425]",GAO,production,2023-10-02 18:34:09.262115+00:00,2025-03-25 23:29:50.248051+00:00,v1,,,,,485.5825394010216,173.90353152296515,2.369140625,0.310791015625,302.0787048339844,106.25076293945312,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-A/GAO20230614t173639p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-A/GAO20230614t173639p0000-A_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-A/GAO20230614t173639p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-A/GAO20230614t173639p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t173639p0000-B,35.17729383717503,-119.12204002547648,2023-06-14 17:36:39+00:00,Livestock (4B),CH4,mf,"[-119.12421882024127, 35.17516747782758, -119.11967894953516, 35.17884681258492]",GAO,production,2023-10-02 18:34:09.291026+00:00,2025-03-25 23:29:51.077939+00:00,v1,,,,,140.1248861997664,50.0982689451825,2.44921875,0.397705078125,305.245361328125,106.95713806152344,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-B/GAO20230614t173639p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-B/GAO20230614t173639p0000-B_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-B/GAO20230614t173639p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-B/GAO20230614t173639p0000-B_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t173639p0000-C,35.20962148898175,-119.20968693964134,2023-06-14 17:36:39+00:00,Livestock (4B),CH4,mf,"[-119.21189524083827, 35.20762290758148, -119.20746884589605, 35.211270941450394]",GAO,production,2023-10-02 18:34:11.657079+00:00,2025-03-25 23:00:39.894692+00:00,v1,,,,,142.25421710577425,101.81136707631804,2.69921875,0.47998046875,235.23611450195312,163.61911010742188,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-C/GAO20230614t173639p0000-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-C/GAO20230614t173639p0000-C_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-C/GAO20230614t173639p0000-C_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t173639p0000-C/GAO20230614t173639p0000-C_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t175340p0000-A,35.297448846248145,-119.375144291324,2023-06-14 17:53:40+00:00,Oil & Gas (1B2),CH4,mf,"[-119.37716999333972, 35.29550766785362, -119.37262269350724, 35.299250462431324]",GAO,production,2023-10-02 18:34:16.492901+00:00,2025-03-25 23:29:35.993794+00:00,v1,,,,,149.9542052482722,99.3990100881232,3.05859375,0.6806640625,249.90740966796875,159.62864685058594,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175340p0000-A/GAO20230614t175340p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175340p0000-A/GAO20230614t175340p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t175340p0000-A/GAO20230614t175340p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175340p0000-A/GAO20230614t175340p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175340p0000-A/GAO20230614t175340p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t175844p0000-B,35.24019221298612,-119.3068047213791,2023-06-14 17:58:44+00:00,Oil & Gas (1B2),CH4,mf,"[-119.30913742069902, 35.23841443535332, -119.30459352298269, 35.24209416637445]",GAO,production,2023-10-02 18:34:10.122867+00:00,2025-03-25 22:38:43.058262+00:00,v1,,,,,198.43011466805217,52.79656565219436,3.322265625,0.6494140625,31.439815521240234,91.6648406982422,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175844p0000-B/GAO20230614t175844p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175844p0000-B/GAO20230614t175844p0000-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t175844p0000-B/GAO20230614t175844p0000-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175844p0000-B/GAO20230614t175844p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t175844p0000-B/GAO20230614t175844p0000-B_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t181104p0000-A,35.26986511136511,-119.39516355257244,2023-06-14 18:11:04+00:00,Oil & Gas (1B2),CH4,mf,"[-119.3973959838431, 35.26798120590304, -119.39296573051773, 35.271629703371055]",GAO,production,2023-10-02 18:34:10.943885+00:00,2025-03-25 22:32:55.955663+00:00,v1,,,,,,,3.099609375,0.7861328125,96.42129516601562,148.88510131835938,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-A/GAO20230614t181104p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-A/GAO20230614t181104p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t181104p0000-A/GAO20230614t181104p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-A/GAO20230614t181104p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-A/GAO20230614t181104p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t181104p0000-B,35.262424721065955,-119.40096486123451,2023-06-14 18:11:04+00:00,Oil & Gas (1B2),CH4,mf,"[-119.40347935457238, 35.25999389916811, -119.39904951661494, 35.26364241421324]",GAO,production,2023-10-02 18:34:10.998294+00:00,2025-03-25 22:34:23.281922+00:00,v1,,,,,335.2898456699708,236.9663253309434,3.099609375,0.7861328125,96.42129516601562,148.88510131835938,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-B/GAO20230614t181104p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-B/GAO20230614t181104p0000-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t181104p0000-B/GAO20230614t181104p0000-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-B/GAO20230614t181104p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-B/GAO20230614t181104p0000-B_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t181104p0000-C,35.260927610585355,-119.3873975251756,2023-06-14 18:11:04+00:00,Oil & Gas (1B2),CH4,mf,"[-119.38946313073886, 35.257840089607384, -119.38495631383758, 35.261520104064076]",GAO,production,2023-10-02 18:34:11.033147+00:00,2025-03-25 22:51:37.215415+00:00,v1,,,,,386.92872267277056,234.2356679741396,3.0703125,0.921875,60.02777862548828,121.28189849853516,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-C/GAO20230614t181104p0000-C_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-C/GAO20230614t181104p0000-C_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t181104p0000-C/GAO20230614t181104p0000-C_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-C/GAO20230614t181104p0000-C_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-C/GAO20230614t181104p0000-C_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t181104p0000-D,35.26213063126056,-119.3834626289362,2023-06-14 18:11:04+00:00,Oil & Gas (1B2),CH4,mf,"[-119.38570298272876, 35.26025202730584, -119.3812347646815, 35.263900416223784]",GAO,production,2023-10-02 18:34:11.097068+00:00,2025-03-25 22:42:07.512608+00:00,v1,,,,,163.56764422357156,111.2334401203948,3.099609375,0.7861328125,96.42129516601562,148.88510131835938,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-D/GAO20230614t181104p0000-D_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-D/GAO20230614t181104p0000-D_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t181104p0000-D/GAO20230614t181104p0000-D_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-D/GAO20230614t181104p0000-D_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181104p0000-D/GAO20230614t181104p0000-D_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t181739p0000-A,35.27666981252081,-119.44486081474656,2023-06-14 18:17:39+00:00,Oil & Gas (1B2),CH4,mf,"[-119.44712225219175, 35.27493930979878, -119.44253725126683, 35.27868237341112]",GAO,production,2023-10-02 18:34:10.151966+00:00,2025-03-25 22:38:44.279456+00:00,v1,,,,,63.36433883690984,45.16394684606789,2.86328125,0.845703125,12.745369911193848,5.22873592376709,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-A/GAO20230614t181739p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-A/GAO20230614t181739p0000-A_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t181739p0000-A/GAO20230614t181739p0000-A_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-A/GAO20230614t181739p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-A/GAO20230614t181739p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t181739p0000-B,35.30276475607337,-119.47547844395038,2023-06-14 18:17:39+00:00,Oil & Gas (1B2),CH4,mf,"[-119.47816489417997, 35.30054371130745, -119.47357835584359, 35.30428684592242]",GAO,production,2023-10-02 18:34:10.182581+00:00,2025-03-25 22:38:45.529282+00:00,v1,,,,,,,2.560546875,0.6591796875,22.745370864868164,63.278282165527344,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-B/GAO20230614t181739p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-B/GAO20230614t181739p0000-B_l3a-vis-ch4-mf-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ch4-mf-v1/2023/06/14/GAO20230614t181739p0000-B/GAO20230614t181739p0000-B_l3a-ch4-mf-v1_concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-B/GAO20230614t181739p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t181739p0000-B/GAO20230614t181739p0000-B_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t182654p0000-A,35.28218124964664,-119.47952387552291,2023-06-14 18:26:54+00:00,Oil & Gas (1B2),CH4,mf,"[-119.48175797271982, 35.279770417377016, -119.47721122621043, 35.283513484099196]",GAO,production,2023-10-02 18:34:11.300062+00:00,2025-03-25 23:00:35.439920+00:00,v1,,,,,25.595817305989883,16.15655479549283,2.759765625,0.6923828125,11.722222328186035,4.68082332611084,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-A/GAO20230614t182654p0000-A_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-A/GAO20230614t182654p0000-A_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-A/GAO20230614t182654p0000-A_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-A/GAO20230614t182654p0000-A_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
GAO20230614t182654p0000-B,35.28482584839709,-119.4759552392097,2023-06-14 18:26:54+00:00,Oil & Gas (1B2),CH4,mf,"[-119.47827540874827, 35.282916322368145, -119.47368986236931, 35.28665946252945]",GAO,production,2023-10-02 18:34:11.328483+00:00,2025-03-25 23:00:35.565648+00:00,v1,,,,,75.03398303900234,27.67011499270849,2.84765625,0.68896484375,11.495369911193848,4.284781455993652,hrrr,Global Airborne Observatory,ASU GDCS,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-B/GAO20230614t182654p0000-B_l3a-vis-ch4-mf-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-B/GAO20230614t182654p0000-B_l3a-vis-ch4-mf-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-B/GAO20230614t182654p0000-B_l3a-vis-ch4-mf-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/06/14/GAO20230614t182654p0000-B/GAO20230614t182654p0000-B_l3a-vis-ch4-mf-v002_rgb.png,1,EMIT_L2A_RFL_001_20230614T224838_2316515_006,
